"p","d","q","AIC","BIC","AICc"
0,2,0,712.898157351624,715.660331286422,712.93293996032
0,2,1,691.291635210016,696.815983079612,691.396898367911
1,2,0,703.96440241192,709.488750281515,704.069665569814
1,2,1,692.649520818169,700.936042622562,692.8619101987
