"p","d","q","AIC","BIC","AICc"
0,1,0,1984.36245229288,1987.9231339239,1984.37795616885
0,1,1,1983.15399476965,1990.27535803168,1983.20068737665
0,1,2,1976.1195464495,1986.80159134255,1976.2132964495
1,1,0,1984.29903502862,1991.42039829065,1984.34572763562
1,1,1,1967.69207374615,1978.37411863919,1967.78582374615
1,1,2,1969.58847380113,1983.83120032519,1969.74533654622
2,1,0,1979.17763254175,1989.8596774348,1979.27138254175
2,1,1,1969.60842784415,1983.85115436821,1969.76529058924
2,1,2,1971.500787556,1989.30419571108,1971.73700802844
